Array Size,CPU (s),Na‹ve(s),Efficient (s),Shared Memory (s),Thrust (s)
13,0.0002,0.172032,0.093184,0.146432,0.120832
29,0,0.177152,0.125952,0.271392,0.119808
61,0.0001,0.307232,0.13824,0.139264,0.132096
125,0.0001,0.19456,0.151552,0.151552,0.465888
253,0.0002,0.221184,0.179232,0.229376,0.12288
509,0.0006,0.211968,0.185344,0.171008,0.139232
1021,0.0008,0.234464,0.208864,0.1536,0.14336
2045,0.0024,0.25088,0.226304,0.15664,0.1024
4093,0.0027,0.267296,0.228384,0.190496,0.128
8189,0.0042,0.287744,0.331776,0.18944,0.115712
16381,0.0105,0.386048,0.28976,0.152416,0.128
32765,0.0207,0.536576,0.31232,0.16224,0.224256
65533,0.0395,0.65632,0.323584,0.178176,0.188416
131069,0.7155,1.0537,0.370336,0.18944,0.376544
262141,1.3405,2.25283,0.44032,0.2304,0.453632
524285,2.6065,4.23936,0.729088,0.256992,0.318464
1048573,5.1172,7.98003,1.10896,0.453248,0.52624
2097149,9.4513,15.7261,2.74637,0.56528,0.8704
4194301,18.5157,32.8335,3.29872,0.869184,0.729568
8388605,39.8544,63.3057,6.31706,1.52157,0.745472
16777213,77.2047,128.479,10.8278,2.81293,1.21651
33554429,149.632,254.301,29.5578,5.42582,1.85139
67108861,286.12,513.441,54.1204,10.7981,3.32787
13,0.0001,0.162816,0.109568,0.201728,0.141312
29,0.0001,0.310272,0.116736,0.190464,0.14336
61,0.0002,0.1792,0.139264,0.186368,0.140288
125,0.0002,0.190464,0.152576,0.188416,0.14848
253,0.0004,0.18944,0.172032,0.186368,0.150528
509,0.0006,0.19968,0.198656,0.206848,0.132096
1021,0.0008,0.208896,0.21504,0.181248,0.212992
2045,0.0197,0.221184,0.203776,0.200704,0.14336
4093,0.0022,0.23552,0.22528,0.197632,0.145408
8189,0.0037,0.268288,0.26624,0.203776,0.149504
16381,0.0167,0.331776,0.28768,0.257024,0.140256
32765,0.0523,0.423936,0.306176,0.166912,0.140288
65533,0.0401,0.617472,0.321536,0.193536,0.149504
131069,0.6029,1.024,0.463872,0.200704,0.459776
262141,1.216,2.06848,0.384896,0.217088,0.669056
524285,2.3575,4.63315,0.744832,0.274272,0.47104
1048573,4.6846,8.47766,1.35066,0.36704,0.539168
2097149,11.1873,15.5949,3.00954,0.525056,0.566816
4194301,18.7532,31.4044,4.18509,0.920032,0.734624
8388605,37.6479,61.8981,6.65702,1.51242,0.8448
16777213,77.5991,123.857,15.0646,2.88973,1.19654
33554429,144.806,257.691,21.2378,5.45654,1.8385
67108861,288.074,515.017,65.6876,10.9711,3.31923
13,0.0001,0.181248,0.1024,0.185344,0.131072
29,0.0002,0.16384,0.136192,0.173056,0.155648
61,0.0001,0.1792,0.132096,0.181248,0.144384
125,0.0003,0.146432,0.154624,0.18432,0.14848
253,0.0004,0.218112,0.177152,0.185344,0.140288
509,0.0007,0.202752,0.193536,0.3584,0.146432
1021,0.0006,0.280576,0.212992,0.173056,0.229376
2045,0.0018,0.218112,0.232448,0.190464,0.13312
4093,0.0041,0.503808,0.241664,0.156672,0.140288
8189,0.0228,0.268288,0.403456,0.1536,0.155648
16381,0.0082,0.330176,0.289792,0.181248,0.152928
32765,0.018,0.48128,0.303104,0.191488,0.123392
65533,0.0376,0.647168,0.309952,0.156672,0.139264
131069,0.6,1.23187,0.357376,0.156192,0.497664
262141,1.1754,2.28045,0.72192,0.182272,0.3328
524285,2.3429,3.84717,0.700832,0.297984,0.471392
1048573,4.9952,7.5505,1.06019,0.38912,0.5064
2097149,9.7312,15.6122,2.71392,0.56496,0.590368
4194301,20.5255,31.658,3.36486,0.856064,0.755136
8388605,36.7543,64.4387,6.43328,1.64006,0.888384
16777213,77.2401,125.498,10.8857,2.81885,1.23645
33554429,148.738,255.076,29.399,5.44768,1.82144
67108861,288.34,509.624,53.1692,10.9475,3.2768
13,0.0001,0.159744,0.105472,0.187392,0.140288
29,0.0002,0.173056,0.11776,0.185344,0.14336
61,0.0001,0.178176,0.136192,0.192512,0.140288
125,0.0003,0.233472,0.16384,0.186368,0.108544
253,0.0005,0.191488,0.169984,0.186368,0.145408
509,0.0005,0.202752,0.188416,0.187392,0.156672
1021,0.0008,0.509952,0.21504,0.180224,0.151552
2045,0.0009,0.221184,0.242688,0.197632,0.14336
4093,0.002,0.239616,0.217088,0.139264,0.14848
8189,0.0036,0.268288,0.270336,0.196608,0.144384
16381,0.0259,0.3232,0.29184,0.18528,0.150848
32765,0.02,0.47616,0.295936,0.198656,0.11776
65533,0.0407,0.64,0.324608,0.120832,0.11776
131069,0.6192,1.02912,0.35328,0.167936,0.320512
262141,1.2133,2.22208,0.410624,0.217088,0.805216
524285,2.3559,3.81645,0.711296,0.283072,0.487904
1048573,4.4386,7.68205,1.32506,0.3632,0.582656
2097149,9.6248,15.3055,2.04493,0.523584,0.514048
4194301,18.9742,31.0414,4.08986,0.850752,0.657056
8388605,39.026,63.1378,6.69139,1.50938,0.837632
16777213,74.2964,125.872,15.0692,2.84518,1.21094
33554429,147.765,255.306,21.1462,5.45587,1.93587
67108861,288.013,510.592,66.0961,10.8513,3.3807
13,0.0001,0.136192,0.10752,0.187392,0.156672
29,0.0001,0.191488,0.135168,0.185344,0.136192
61,0.0002,0.180224,0.128,0.176128,0.142336
125,0.0001,0.22016,0.150528,0.180224,0.144384
253,0.0002,0.187392,0.227328,0.191488,0.16384
509,0.0007,0.197632,0.190464,0.18432,0.15872
1021,0.0011,0.27648,0.223232,0.18432,0.242688
2045,0.0022,0.217088,0.228352,0.19968,0.140288
4093,0.0026,0.241664,0.223232,0.223232,0.126976
8189,0.0041,0.270336,0.39424,0.150528,0.149504
16381,0.0082,0.321024,0.292864,0.180064,0.140288
32765,0.0407,0.420864,0.306176,0.195584,0.135104
65533,0.0389,0.618496,0.319488,0.18944,0.145408
131069,0.5861,1.04653,0.359424,0.193536,0.40448
262141,1.1771,2.06848,0.436224,0.244736,0.442368
524285,2.3564,3.83181,0.71216,0.299008,0.615424
1048573,4.4401,8.33706,1.09056,0.461824,0.499712
2097149,9.1967,15.8243,2.42586,0.64512,0.541696
4194301,18.1289,32.6072,3.53434,0.837088,0.753664
8388605,39.0477,63.6659,7.67898,1.7193,0.851968
16777213,73.7846,125.981,10.8298,2.80986,1.19686
33554429,145.945,253.542,29.7062,5.46778,1.92176
67108861,295.301,514.055,52.0526,10.7079,3.34522
13,0.0001,0.18944,0.108544,0.191488,0.1536
29,0.0001,0.166912,0.120832,0.181248,0.159744
61,0.0003,0.17408,0.145408,0.18432,0.151552
125,0.0002,0.191488,0.14848,0.192512,0.131072
253,0.0005,0.19456,0.173056,0.186368,0.149504
509,0.0005,0.211968,0.197632,0.177152,0.139264
1021,0.001,0.49664,0.208896,0.18432,0.140288
2045,0.0014,0.219136,0.202752,0.207872,0.146432
4093,0.004,0.672768,0.379904,0.146432,0.392192
8189,0.0039,0.269312,0.26112,0.196608,0.154624
16381,0.0082,0.324608,0.290816,0.19456,0.172032
32765,0.0203,0.423936,0.30752,0.195584,0.14064
65533,0.039,0.625664,0.326656,0.18432,0.167424
131069,0.9045,1.02093,0.354304,0.201728,0.463872
262141,1.2119,2.03571,0.425984,0.215392,0.5632
524285,2.3415,3.8377,0.753664,0.303488,0.483328
1048573,4.4805,7.61187,1.35168,0.376384,0.527904
2097149,11.0422,15.5402,1.98554,0.548864,0.590848
4194301,17.9776,30.7869,4.71907,0.833248,0.701952
8388605,39.1168,62.4769,7.77274,1.59811,0.763904
16777213,75.6296,126.079,15.4981,2.8184,1.37664
33554429,143.249,253.889,21.1436,5.43485,1.96445
67108861,287.915,512.935,67.2875,10.6634,3.23686
13,0.0001,0.160768,0.105472,0.181248,0.144384
29,0.0003,0.166912,0.128,0.183296,0.160768
61,0.0003,0.178176,0.129024,0.18944,0.149504
125,0.0004,0.183296,0.164864,0.183296,0.134144
253,0.0003,0.190464,0.171008,0.191488,0.141312
509,0.0007,0.208896,0.277504,0.144384,0.15872
1021,0.0005,0.262144,0.217088,0.187392,0.16896
2045,0.0022,0.221184,0.354304,0.206848,0.14848
4093,0.0041,0.294912,0.284672,0.202752,0.152576
8189,0.0065,0.268288,0.24064,0.19968,0.147456
16381,0.0277,0.360448,0.290816,0.181216,0.15872
32765,0.0202,0.816128,0.305152,0.187392,0.146432
65533,0.0363,0.664352,0.328704,0.194496,0.191488
131069,0.5996,1.02605,0.354208,0.211968,0.454048
262141,1.2095,2.10637,0.408576,0.211968,0.536576
524285,2.3557,3.82054,0.658848,0.284672,0.452064
1048573,4.7902,7.56736,1.10694,0.37328,0.493568
2097149,9.1747,16.439,2.38166,0.499584,0.609184
4194301,19.2566,30.6903,3.63357,0.971456,0.6856
8388605,36.3212,63.6481,6.4215,1.51952,3.09805
16777213,78.8757,126.809,10.88,2.9552,1.21549
33554429,147.071,254.475,29.5762,5.45245,1.8431
67108861,291.962,510.529,53.0524,10.7407,3.38301
13,0.0001,0.223232,0.110592,0.192512,0.14848
29,0.0001,0.171008,0.14336,0.177152,0.140288
61,0.0003,0.188416,0.14848,0.326656,0.135168
125,0.0003,0.246784,0.1536,0.185344,0.161792
253,0.0003,0.214016,0.178176,0.186368,0.140288
509,0.0004,0.201728,0.195584,0.193536,0.142336
1021,0.001,0.237568,0.212992,0.191488,0.144384
2045,0.002,0.252928,0.203776,0.171008,0.190464
4093,0.0028,0.233472,0.365568,0.202752,0.14336
8189,0.0037,0.284672,0.273408,0.2048,0.146432
16381,0.0093,0.324608,0.290528,0.185344,0.156544
32765,0.0196,0.41984,0.295936,0.19456,0.135936
65533,0.0562,0.654336,0.32768,0.197632,0.140224
131069,0.5838,1.04755,0.3584,0.431104,0.433152
262141,1.2042,2.07974,0.392192,0.222208,0.405504
524285,2.3565,3.84698,0.74304,0.295936,0.443392
1048573,4.4383,7.60192,1.4039,0.374784,0.451584
2097149,9.2389,15.8607,1.95414,0.528,0.58
4194301,18.0021,32.0266,4.16461,0.854912,0.602752
8388605,37.4105,62.3984,6.65341,1.64614,0.821248
16777213,74.9669,125.463,15.1613,2.89485,1.22029
33554429,149.511,254.163,21.2683,5.45379,1.97779
67108861,289.986,514.568,67.0095,10.6535,3.30627
13,0.0001,0.201728,0.104448,0.190464,0.14848
29,0.0001,0.152576,0.120832,0.548864,0.14336
61,0.0002,0.200704,0.146432,0.19456,0.167936
125,0.0001,0.387072,0.164864,0.18944,0.13312
253,0.0003,0.191488,0.318464,0.200704,0.14336
509,0.0005,0.257024,0.196608,0.186368,0.141312
1021,0.0013,0.239616,0.217088,0.187392,0.152576
2045,0.0008,0.221184,0.206848,0.197632,0.150528
4093,0.0041,0.311296,0.264192,0.192512,0.147456
8189,0.0035,0.277504,0.400384,0.200704,0.14848
16381,0.0166,0.309248,0.299008,0.197632,0.427616
32765,0.0179,0.42496,0.308224,0.187168,0.124928
65533,0.0425,0.664576,0.319488,0.27504,0.132096
131069,0.5874,1.02605,0.342464,0.200704,0.411392
262141,1.1768,2.47398,0.439296,0.219776,0.482304
524285,2.2765,3.82259,0.731136,0.273408,0.402432
1048573,4.5344,7.56381,1.07562,0.478208,0.559104
2097149,9.5215,15.6197,2.47152,0.531776,0.555008
4194301,19.2017,31.2812,3.33926,0.848864,1.1473
8388605,39.4765,63.0618,6.3737,1.52509,0.839392
16777213,73.7667,127.059,10.8257,2.81059,1.24723
33554429,147.964,254.077,29.8312,5.53626,1.92189
67108861,289.198,510.028,50.8928,10.7448,3.36691
13,0.0001,0.139264,0.111616,0.171008,0.14336
29,0.0001,0.228352,0.120832,0.187392,0.135168
61,0.0003,0.224256,0.13824,0.177152,0.16896
125,0.0003,0.183296,0.15872,0.14336,0.113664
253,0.0004,0.197632,0.161792,0.144384,0.114688
509,0.0007,0.2048,0.195584,0.139264,0.116736
1021,0.0007,0.555008,0.207872,0.144384,0.205824
2045,0.0009,0.290816,0.236544,0.197632,0.125952
4093,0.0021,0.27648,0.228352,0.1536,0.120832
8189,0.0113,0.273408,0.268288,0.14336,0.103424
16381,0.0083,0.413696,0.311296,0.143904,0.120832
32765,0.0181,0.434912,0.29696,0.149504,0.421856
65533,0.0399,0.623616,0.319488,0.157696,0.116736
131069,0.5837,1.03936,0.349184,0.379904,0.461792
262141,1.1707,2.55795,0.422912,0.231424,0.477152
524285,2.3432,4.14413,0.722944,0.280992,0.453248
1048573,4.5677,7.77011,1.32669,0.367616,0.495616
2097149,9.5429,16.9481,1.97715,0.533248,0.598016
4194301,19.0753,32.7535,4.57421,0.836416,0.592896
8388605,38.4607,62.447,6.6775,1.5145,0.83392
16777213,72.4156,126.82,15.5839,3.15581,1.62701
33554429,149.891,250.888,21.0643,5.45178,1.92915
67108861,295.535,513.397,67.0297,10.6527,3.30752
13,0.0001,0.140288,0.10752,0.186368,0.14336
29,0.0003,0.16384,0.126976,0.19968,0.139264
61,0.0001,0.1792,0.131072,0.183296,0.146432
125,0.0001,0.190464,0.151552,0.190464,0.155648
253,0.0003,0.212992,0.176128,0.191488,0.193536
509,0.0006,0.203776,0.187392,0.145408,0.114688
1021,0.0005,0.246784,0.207872,0.149504,0.11264
2045,0.0023,0.249856,0.203776,0.151552,0.106496
4093,0.002,0.234496,0.375808,0.2048,0.23552
8189,0.0042,0.269312,0.270336,0.15872,0.104448
16381,0.0101,0.325632,0.279552,0.14336,0.117088
32765,0.0205,0.458752,0.30864,0.150912,0.147456
65533,0.0387,0.620544,0.313344,0.198432,0.115712
131069,0.5835,1.03424,0.349184,0.169984,0.322176
262141,1.1694,2.03469,0.386688,0.233472,0.894848
524285,2.4088,3.82566,1.43661,0.289792,0.439232
1048573,4.5664,7.57651,1.0711,0.369664,0.519168
2097149,8.979,16.2956,2.5,0.501216,0.523264
4194301,18.0382,30.5306,3.5159,0.85504,0.678208
8388605,41.8273,62.8396,6.35328,1.51654,0.83488
16777213,74.036,126.913,10.9189,2.8311,1.26874
33554429,145.586,253.385,29.6008,5.4528,3.34131
67108861,293.193,516.188,53.1882,10.8073,3.32934
13,0.0003,0.166912,0.11264,0.164864,0.156672
29,0.0003,0.171008,0.123904,0.18944,0.145408
61,0.0002,0.191488,0.136192,0.18944,0.152576
125,0.0003,0.191488,0.149504,0.570368,0.15872
253,0.0003,0.154624,0.161792,0.355328,0.16384
509,0.0007,0.19968,0.206848,0.197632,0.11264
1021,0.0006,0.23552,0.19456,0.14848,0.162816
2045,0.0009,0.22016,0.197632,0.152576,0.098304
4093,0.002,0.259072,0.232448,0.155648,0.132096
8189,0.0038,0.268288,0.27136,0.151552,0.141312
16381,0.0077,0.335872,0.770048,0.196608,0.252608
32765,0.019,0.421888,0.3072,0.152576,0.116736
65533,0.0396,0.643072,0.328704,0.161792,0.131072
131069,0.6013,1.01786,0.3584,0.183264,0.431104
262141,1.2559,2.18419,0.432128,0.188416,0.335872
524285,2.4264,3.83078,0.718656,0.270304,0.67072
1048573,4.4386,7.55814,1.32352,0.367392,0.55296
2097149,8.9873,15.7182,2.00547,0.538624,0.496512
4194301,18.8244,35.8431,4.49843,0.851968,0.663136
8388605,41.9394,61.4039,6.86179,1.51824,0.84224
16777213,74.1476,126.335,15.0482,3.16493,1.18262
33554429,148.206,255.629,22.5295,5.46918,1.90918
67108861,295.783,512.748,67.4381,10.6625,3.31978
13,0.0001,0.126976,0.100352,0.195584,0.146432
29,0.0002,0.191488,0.123904,0.196608,0.150528
61,0.0001,0.211968,0.146432,0.182272,0.151552
125,0.0002,0.18432,0.152576,0.188416,0.137216
253,0.0003,0.19456,0.176128,0.19456,0.136192
509,0.0005,0.207872,0.196608,0.197632,0.1536
1021,0.0009,0.208896,0.212992,0.196608,0.166912
2045,0.002,0.239616,0.208896,0.195584,0.131072
4093,0.0039,0.26624,0.234496,0.144384,0.152576
8189,0.0038,0.275456,0.27648,0.212992,0.150528
16381,0.0078,0.32768,0.290816,0.197376,0.164864
32765,0.02,0.41984,0.305152,0.190368,0.23504
65533,0.0402,0.636928,0.32768,0.19456,0.146432
131069,0.5905,1.02912,0.355328,0.201728,0.444
262141,1.177,2.1289,0.402432,0.229376,0.463872
524285,2.3427,3.84032,0.704512,0.285696,0.717184
1048573,4.6843,7.68819,1.09875,0.37376,0.515904
2097149,9.4534,15.3149,2.31936,0.541312,0.389824
4194301,18.0166,30.7586,3.31664,0.845824,0.679424
8388605,40.1057,62.1967,6.45325,1.57629,1.0247
16777213,73.6937,126.823,10.9163,2.82669,1.3056
33554429,150.986,253.733,29.7636,5.47091,1.97696
67108861,296.562,509.493,51.4953,10.6547,3.32941
13,0.0001,0.214016,0.10752,0.18944,0.142336
29,0.0001,0.493568,0.115712,0.19456,0.14848
61,0.0001,0.190464,0.141312,0.186368,0.154624
125,0.0002,0.183296,0.152576,0.321536,0.146432
253,0.0002,0.16384,0.180224,0.178176,0.178176
509,0.0004,0.201728,0.192512,0.188416,0.229376
1021,0.0006,0.2304,0.2048,0.18944,0.157696
2045,0.0021,0.219136,0.241664,0.152576,0.147456
4093,0.002,0.265216,0.223232,0.205824,0.165888
8189,0.0036,0.268288,0.397312,0.203776,0.166912
16381,0.0088,0.338944,0.290784,0.182272,0.167936
32765,0.0191,0.438272,0.298528,0.149504,0.11776
65533,0.0371,0.615424,0.313344,0.145408,0.121856
131069,0.6032,1.01786,0.355328,0.159744,0.410624
262141,1.3339,2.05107,0.41984,0.178176,0.46592
524285,2.3411,3.83962,0.715104,0.298464,0.462144
1048573,4.4394,8.21853,1.25747,0.356352,0.51712
2097149,9.8516,16.3748,2.0009,0.501056,0.575296
4194301,18.9733,30.7948,4.1472,0.881152,0.676576
8388605,39.1131,61.6878,6.64202,1.54931,0.840704
16777213,73.737,125.953,16.5622,2.87904,1.17731
33554429,149.902,254.109,21.0519,5.46154,1.90662
67108861,297.692,511.745,66.2487,10.6864,3.31162
13,0.0001,0.17408,0.100352,0.167936,0.141312
29,0.0001,0.183296,0.129024,0.190464,0.151552
61,0.0001,0.175104,0.135168,0.183296,0.139264
125,0.0003,0.187392,0.157696,0.186368,0.141312
253,0.0003,0.224256,0.176128,0.192512,0.139264
509,0.0005,0.2048,0.191488,0.18432,0.146432
1021,0.0011,0.232448,0.208896,0.18944,0.1536
2045,0.0021,0.2304,0.206848,0.19968,0.131072
4093,0.004,0.23552,0.224256,0.328704,0.144384
8189,0.0054,0.270336,0.390144,0.205824,0.145408
16381,0.0085,0.324608,0.290304,0.185728,0.265216
32765,0.0175,0.459776,0.30208,0.192384,0.139264
65533,0.041,0.616448,0.320512,0.151552,0.119808
131069,0.6038,1.02912,0.370688,0.164192,0.45568
262141,1.1759,2.0695,0.432128,0.183296,0.468992
524285,2.344,3.75555,0.742016,0.293728,0.540672
1048573,4.6835,8.73149,1.09261,0.360352,0.502784
2097149,9.2438,15.8031,2.6592,0.521216,0.513024
4194301,19.2676,32.4422,3.29523,0.863232,0.672768
8388605,40.4245,62.3635,6.5065,1.51296,0.871424
16777213,72.5093,123.856,10.8216,2.81645,1.13664
33554429,146.225,253.632,29.4851,5.45056,1.94237
67108861,296.254,513.167,51.3833,10.694,3.62282
13,0.0001,0.205824,0.108544,0.198656,0.141312
29,0.0001,0.166912,0.12288,0.192512,0.13824
61,0.0001,0.178176,0.13824,0.197632,0.14336
125,0.0003,0.187392,0.1536,0.8192,0.152576
253,0.0003,0.205824,0.1792,0.176128,0.134144
509,0.0006,0.2048,0.195584,0.18432,0.11776
1021,0.0004,0.231424,0.202752,0.140288,0.11776
2045,0.0009,0.233472,0.324608,0.16384,0.128
4093,0.0019,0.234496,0.231424,0.152576,0.104448
8189,0.0042,0.335872,0.273408,0.181248,0.110592
16381,0.015,0.330752,0.29024,0.243712,0.12288
32765,0.0183,0.433152,0.313088,0.192512,0.116736
65533,0.0358,0.643072,0.329728,0.149504,0.116064
131069,0.5836,1.05267,0.37376,0.161696,0.463872
262141,1.1774,2.03981,0.388096,0.181152,0.472064
524285,2.3747,3.8081,0.718208,0.251456,0.513024
1048573,4.4388,7.83907,1.36022,0.37888,0.503808
2097149,10.1363,15.4518,2.01114,0.50336,0.658912
4194301,18.3547,30.7844,4.14045,0.916832,0.659232
8388605,35.9609,62.338,6.67443,1.49274,0.839168
16777213,72.0274,125.271,15.1423,2.82624,1.1159
33554429,146.136,254.702,21.139,5.91098,1.93398
67108861,295.565,512.52,66.0659,12.2854,3.24608
13,0,0.18944,0.098304,0.16384,0.152576
29,0.0001,0.453632,0.126976,0.185344,0.16384
61,0.0001,0.234496,0.13312,0.203776,0.132096
125,0.0002,0.187392,0.152576,0.186368,0.155648
253,0.0004,0.192512,0.17408,0.183296,0.15872
509,0.0005,0.249856,0.197632,0.191488,0.154624
1021,0.001,0.206848,0.232448,0.202752,0.44544
2045,0.0019,0.22528,0.357376,0.19968,0.14848
4093,0.0041,0.236544,0.231424,0.191488,0.146432
8189,0.0036,0.380928,0.390144,0.210944,0.19968
16381,0.0101,0.403456,0.289792,0.186368,0.141312
32765,0.0184,0.41984,0.55808,0.185344,0.165888
65533,0.0406,0.668672,0.323584,0.199104,0.16384
131069,0.5999,1.536,0.370688,0.371712,0.412352
262141,1.1704,2.58662,0.425984,0.22016,0.654336
524285,2.344,3.85814,0.690176,0.287744,0.49696
1048573,4.4391,7.56669,1.17453,0.657408,0.490816
2097149,9.185,15.5494,2.40589,0.536,0.553728
4194301,18.0633,30.6606,3.31571,0.836544,0.67584
8388605,39.46,62.5036,6.65805,1.52973,0.762752
16777213,72.8385,125.441,12.0996,2.83398,1.26845
33554429,144.21,254.222,29.4854,5.7169,1.92138
67108861,291.162,514.954,53.144,10.6833,3.36794
13,0.0001,0.13824,0.10752,0.18944,0.149504
29,0.0001,0.211968,0.11264,0.180224,0.18432
61,0.0002,0.292864,0.146432,0.188416,0.136192
125,0.0003,0.169984,0.162816,0.198656,0.154624
253,0.0004,0.187392,0.177152,0.187392,0.149504
509,0.0007,0.19968,0.193536,0.145408,0.11776
1021,0.0012,0.232448,0.2048,0.147456,0.114688
2045,0.0018,0.22528,0.206848,0.156672,0.100352
4093,0.002,0.23552,0.231424,0.162816,0.10752
8189,0.0042,0.283648,0.292864,0.156672,0.226304
16381,0.0347,0.328704,0.29184,0.20064,0.119744
32765,0.0308,0.422912,0.304128,0.1536,0.151392
65533,0.0415,0.664576,0.311296,0.14848,0.169984
131069,0.6025,1.59539,0.352256,0.152576,0.336896
262141,1.1715,2.9952,0.449536,0.214016,0.431104
524285,2.3575,4.13782,0.738304,0.272832,0.413696
1048573,4.4384,7.92368,1.28342,0.379904,0.517728
2097149,10.0563,16.1925,1.99053,0.570368,0.493152
4194301,18.5013,31.9905,4.14966,1.18739,0.636448
8388605,36.5267,62.4568,6.61914,1.53946,0.970752
16777213,73.8542,123.607,14.9719,2.81443,1.18547
33554429,147.252,257.921,21.2178,5.46365,1.89837
67108861,290.144,511.514,66.0168,10.9066,3.38842
13,0.0001,0.177152,0.098304,0.19456,0.136192
29,0.0001,0.1792,0.118784,0.248832,0.14336
61,0.0002,0.221184,0.139264,0.18432,0.144384
125,0.0003,0.195584,0.16384,0.191488,0.166912
253,0.0003,0.228352,0.172032,0.17408,0.157696
509,0.0007,0.224256,0.19456,0.19968,0.144384
1021,0.0012,0.231424,0.20992,0.195584,0.130048
2045,0.0015,0.339968,0.2304,0.244736,0.149504
4093,0.0041,0.239616,0.226304,0.161792,0.151552
8189,0.0034,0.270336,0.372736,0.203776,0.131072
16381,0.009,0.356352,0.283552,0.185344,0.13824
32765,0.0198,0.405504,0.299008,0.203776,0.166912
65533,0.0415,0.62976,0.319488,0.149216,0.124928
131069,0.5861,1.0752,0.34912,0.187392,0.325984
262141,1.1718,2.03878,0.4096,0.218112,0.464896
524285,2.3548,3.83683,0.979968,0.38496,0.442144
1048573,4.441,7.56006,1.09261,0.364544,0.469536
2097149,9.8416,15.3057,2.50266,0.498688,0.556032
4194301,18.8915,31.0034,3.31414,0.84752,0.601056
8388605,36.5757,63.3569,6.5024,1.51347,2.2103
16777213,75.6577,126.289,12.2015,2.82624,2.53952
33554429,149.245,257.183,29.4851,5.46144,1.82122
67108861,299.695,524.993,51.1833,10.6854,3.29795
13,0,0.178176,0.10752,0.169984,0.14336
29,0.0001,0.190464,0.121856,0.190464,0.140288
61,0.0001,0.172032,0.13312,0.244736,0.162816
125,0.0002,0.182272,0.154624,0.177152,0.142336
253,0.0003,0.16896,0.171008,0.190464,0.145408
509,0.0006,0.195584,0.192512,0.169984,0.564224
1021,0.0012,0.24576,0.214016,0.188416,0.136192
2045,0.0021,0.221184,0.228352,0.190464,0.149504
4093,0.002,0.234496,0.403456,0.200704,0.149504
