Array Size,CPU (s),Na‹ve(s),Efficient (s),Shared Memory (s),Thrust (s)
8189,0.0237,0.295936,0.272384,0.19456,0.159744
16381,0.0085,0.324608,0.290816,0.182272,0.137024
32765,0.0194,0.41472,0.30208,0.186368,0.1464
65533,0.0383,0.886784,0.321536,0.207744,0.157696
131069,0.5864,1.03117,0.3584,0.200704,0.454656
262141,1.1701,2.09203,0.393216,0.217024,0.438272
524285,2.4096,4.16326,0.729088,0.278528,0.463744
1048573,4.9552,8.18147,1.2585,0.367264,0.544768
2097149,8.875,15.703,1.9792,0.503808,0.56832
4194301,19.5579,34.6804,4.14413,0.857472,0.587296
8388605,42.3665,90.1407,9.5191,2.45626,0.815104
16777213,77.9639,136.279,14.8859,2.82038,1.16326
33554429,147.168,255.286,21.0964,5.44221,1.90541
67108861,294.146,515.047,66.348,10.6772,3.3759
13,0,0.169984,0.109568,0.226304,0.165888
29,0.0001,0.1792,0.169984,0.186368,0.13824
61,0.0001,0.180224,0.144384,0.19968,0.135168
125,0.0001,0.247808,0.166912,0.203776,0.13312
253,0.0002,0.190464,0.172032,0.19456,0.165888
509,0.0006,0.198656,0.195584,0.183296,0.14848
1021,0.0012,0.233472,0.216064,0.182272,0.155648
2045,0.0022,0.24064,0.367616,0.196608,0.147456
4093,0.0043,0.315392,0.244736,0.19456,0.120832
8189,0.0037,0.319488,0.268288,0.195584,0.202752
16381,0.008,0.323584,0.277504,0.200704,0.1536
32765,0.0182,0.41984,0.306176,0.25088,0.13456
65533,0.0494,0.67584,0.351232,0.20992,0.132096
131069,0.6014,1.02195,0.3584,0.164864,0.366592
262141,1.1716,2.03162,0.423936,0.178624,0.320512
524285,2.5048,3.84614,0.702464,0.29376,0.481856
1048573,4.6846,8.07293,1.10592,0.366912,0.543552
2097149,10.4857,15.4614,2.44736,0.524288,0.482304
4194301,18.0219,32.6123,3.29626,1.92464,0.721344
8388605,37.6827,62.4448,6.50083,1.50998,0.935712
16777213,74.2777,126.238,10.8093,2.8887,1.24314
33554429,151.481,253.666,29.609,5.45261,1.92
67108861,294.536,512.896,53.6508,10.6585,3.32736
13,0.0001,0.201728,0.106496,0.216064,0.119808
29,0.0001,0.181248,0.115712,0.186368,0.140288
61,0.0002,0.177152,0.144384,0.191488,0.136192
125,0.0004,0.196608,0.14848,0.187392,0.140288
253,0.0002,0.203776,0.176128,0.147456,0.162816
509,0.0004,0.267264,0.19456,0.150528,0.11776
1021,0.0005,0.232448,0.210944,0.178176,0.114688
2045,0.0008,0.228352,0.310272,0.157696,0.110592
4093,0.0172,0.238592,0.336896,0.159744,0.099328
8189,0.0037,0.275456,0.347136,0.159744,0.10752
16381,0.0101,0.379904,0.291776,0.15872,0.125952
32765,0.0704,0.434176,0.297984,0.191488,0.145408
65533,0.0395,0.622592,0.314368,0.205664,0.206848
131069,0.5848,1.17965,0.35328,0.155648,0.4608
262141,1.1699,2.0265,0.453632,0.177152,0.474112
524285,2.4247,3.83898,0.7424,0.303104,0.432704
1048573,4.7106,7.87763,1.37062,0.366208,0.54784
2097149,8.9276,15.9568,2.0224,0.516736,0.5312
4194301,18.4238,30.9046,4.50253,0.816128,0.666464
8388605,36.0786,62.2638,6.7369,1.51802,0.796352
16777213,73.0519,126.015,15.0678,2.83702,1.17453
33554429,148.167,253.71,21.1317,5.45888,1.91555
67108861,290.132,514.523,64.7895,10.946,3.26451
13,0.0001,0.140288,0.1024,0.197632,0.169984
29,0.0001,0.165888,0.136192,0.186368,0.150528
61,0.0001,0.173056,0.137216,0.188416,0.14848
125,0.0001,0.182272,0.1536,0.191488,0.152576
253,0.0004,0.190464,0.17408,0.182272,0.151552
509,0.0006,0.20992,0.19456,0.192512,0.155648
1021,0.0005,0.233472,0.217088,0.226304,0.1536
2045,0.0021,0.2304,0.35328,0.198656,0.14848
4093,0.0039,0.436224,0.24064,0.149504,0.151552
8189,0.0224,0.370688,0.26624,0.195584,0.144384
16381,0.0095,0.434176,0.294912,0.198656,0.165888
32765,0.0268,0.45568,0.309248,0.154624,0.121856
65533,0.0382,0.628736,0.365568,0.157696,0.11808
131069,0.5843,1.02195,0.355328,0.156672,0.497664
262141,1.2131,2.04698,0.416768,0.18368,0.605184
524285,2.4084,3.8417,0.702464,0.298752,0.436992
1048573,4.4411,8.10656,1.08544,0.36448,0.693088
2097149,10.4417,16.6892,2.42928,0.544768,0.493472
4194301,19.0591,32.1852,3.4048,0.869856,0.672768
8388605,36.1955,62.464,6.37904,1.50275,0.93696
16777213,72.6195,126.25,10.7678,2.82291,1.30202
33554429,143.243,252.774,29.5455,5.4927,1.92486
67108861,293.861,515.596,52.2803,10.6666,3.39808
13,0.0001,0.181248,0.108544,0.180224,0.13312
29,0.0001,0.180224,0.116736,0.187392,0.14848
61,0.0002,0.17408,0.144384,0.190464,0.13824
125,0.0002,0.185344,0.1536,0.193536,0.151552
253,0.0003,0.190464,0.171008,0.18944,0.14336
509,0.0004,0.202752,0.202752,0.176128,0.157696
1021,0.0007,0.289792,0.218112,0.196608,0.140288
2045,0.0017,0.2304,0.347136,0.23552,0.14336
4093,0.0028,0.269312,0.334848,0.157696,0.1024
8189,0.0038,0.27648,0.349184,0.152576,0.10752
16381,0.0288,0.345088,0.28672,0.147456,0.114688
32765,0.0194,0.519168,0.313344,0.152576,0.119808
65533,0.0403,0.654336,0.31232,0.377856,0.120832
131069,0.8013,1.0455,0.57856,0.19952,0.50176
262141,1.1721,2.04288,0.425984,0.181248,0.478208
524285,2.4107,3.82541,0.724288,0.260416,0.45568
1048573,4.4379,8.21862,1.42848,0.350816,0.595968
2097149,9.8797,15.4218,2.00909,0.647968,0.570048
4194301,17.9694,30.7978,4.09741,1.07462,0.648
8388605,38.817,62.3335,6.6263,1.52755,0.812032
16777213,72.0237,125.728,15.0958,2.83517,1.14566
33554429,145.302,253.513,21.2489,5.47782,1.97837
67108861,299.609,514.77,67.6444,10.8777,3.39619
13,0.0001,0.1792,0.115712,0.183296,0.162816
29,0.0001,0.185344,0.22016,0.180224,0.135168
61,0.0002,0.195584,0.137216,0.140288,0.11776
125,0.0002,0.181248,0.14848,0.151552,0.114688
253,0.0003,0.218112,0.169984,0.146432,0.113664
509,0.0005,0.210944,0.187392,0.263168,0.118784
1021,0.0006,0.227328,0.224256,0.145408,0.113664
2045,0.0029,0.217088,0.308224,0.154624,0.195584
4093,0.004,0.253952,0.330752,0.161792,0.136192
8189,0.0038,0.26624,0.355328,0.159744,0.11776
16381,0.0114,0.318464,0.301056,0.148224,0.165888
32765,0.0207,0.4864,0.690176,0.167808,0.12288
65533,0.0401,0.61952,0.32768,0.150304,0.11776
131069,0.6001,1.02605,0.356352,0.144384,0.490368
262141,1.2581,2.6321,0.429056,0.19968,0.48128
524285,2.3416,3.83795,0.699392,0.289472,0.459776
1048573,4.6841,7.73286,1.09568,0.422592,0.461792
2097149,10.1255,15.6487,2.80986,0.527744,0.568192
4194301,17.9687,31.4364,3.28806,0.86016,0.656
8388605,37.8592,63.2779,6.34941,1.50003,0.840704
16777213,72.6711,126.317,10.8909,2.79552,1.88083
33554429,147.99,254.426,29.6298,5.4784,2.6368
67108861,289.667,513.888,51.7478,10.7397,3.38989
13,0.0001,0.186368,0.115712,0.191488,0.140288
29,0.0001,0.126976,0.120832,0.177152,0.14336
61,0.0002,0.206848,0.136192,0.185344,0.14848
125,0.0002,0.188416,0.161792,0.183296,0.146432
253,0.0003,0.500736,0.169984,0.187392,0.142336
509,0.0004,0.283648,0.200704,0.193536,0.142336
1021,0.0008,0.234496,0.203776,0.180224,0.137216
2045,0.0019,0.219136,0.334848,0.205824,0.149504
4093,0.0018,0.242688,0.372736,0.19968,0.132096
8189,0.0036,0.267264,0.265216,0.210944,0.150528
16381,0.0081,0.316416,0.287744,0.191392,0.139264
32765,0.0396,0.436224,0.313344,0.196,0.151552
65533,0.0375,0.667648,0.31744,0.186368,0.14336
131069,0.5832,1.024,0.333824,0.19968,0.412672
262141,1.2105,2.06029,0.421888,0.216064,0.417792
524285,2.3278,3.83552,0.75776,0.362496,0.453504
1048573,4.6838,8.1847,1.32301,0.363296,0.472064
2097149,10.9269,15.4945,1.97222,0.540352,2.15302
4194301,17.9404,31.3897,4.29773,0.848896,0.656128
8388605,36.3477,62.4952,6.71296,1.55133,0.835584
16777213,74.2341,125.728,14.9135,2.91978,1.20934
33554429,151.03,253.997,21.1241,6.30374,1.92307
67108861,291.741,511.337,66.3752,10.7034,3.35914
13,0.0001,0.140288,0.104448,0.111616,0.147456
29,0.0002,0.171008,0.132096,0.187392,0.166912
61,0.0002,0.171008,0.136192,0.178176,0.176128
125,0.0002,0.187392,0.156672,0.195584,0.198656
253,0.0003,0.190464,0.177152,0.182272,0.118784
509,0.0007,0.211968,0.197632,0.14848,0.257024
1021,0.0012,0.231424,0.222208,0.144384,0.113664
2045,0.0021,0.244736,0.274432,0.152576,0.132096
4093,0.0018,0.329728,0.336896,0.150528,0.104448
8189,0.0227,0.3328,0.280576,0.150528,0.106496
16381,0.0081,0.320512,0.293888,0.14304,0.115712
32765,0.0218,0.415744,0.416768,0.176128,0.120832
65533,0.0419,0.637952,0.321536,0.159744,0.120832
131069,0.5831,1.11821,0.350208,0.16384,0.459328
262141,1.2427,2.16986,0.809984,0.210944,0.411648
524285,2.375,3.82941,0.854016,0.280288,0.488992
1048573,6.285,8.35994,1.21805,0.360864,0.507456
2097149,9.3482,15.554,2.49958,0.539072,0.53008
4194301,18.2841,31.5095,3.27373,0.86528,0.678912
8388605,37.8824,62.6944,6.38874,1.45907,0.825344
16777213,72.768,125.366,10.9046,2.81683,1.22966
33554429,142.901,254.877,30.6483,6.15526,1.94867
67108861,295.095,514.92,53.394,10.6632,3.3176
13,0,0.132096,0.101376,0.182272,0.147456
29,0.0001,0.141312,0.115712,0.190464,0.140288
61,0.0002,0.200704,0.139264,0.186368,0.169984
125,0.0002,0.182272,0.169984,0.185344,0.149504
253,0.0003,0.185344,0.177152,0.193536,0.242688
509,0.0004,0.20992,0.195584,0.195584,0.152576
1021,0.0005,0.232448,0.224256,0.18944,0.137216
2045,0.0009,0.221184,0.415744,0.206848,0.104448
4093,0.0018,0.242688,0.3328,0.154624,0.10752
8189,0.0272,0.270336,0.345088,0.162816,0.119808
16381,0.0157,0.342016,0.29696,0.155648,0.118784
32765,0.0263,0.425984,0.303104,0.165888,0.139264
65533,0.0389,0.6656,0.524288,0.148832,0.120832
131069,0.5835,1.88006,0.366592,0.21504,0.411296
262141,1.211,2.2272,0.392192,0.22016,0.769024
524285,2.3608,3.82771,0.714112,0.295936,0.403456
1048573,4.4388,7.58246,1.35373,0.374592,0.554976
2097149,9.1308,15.8705,1.96813,0.507488,0.4608
4194301,18.3634,33.834,4.10112,0.860768,0.599936
8388605,36.6773,61.3775,6.68262,1.50496,0.799488
16777213,72.5356,126.871,14.9688,3.70176,1.20998
33554429,145.569,254.273,21.2951,5.49142,1.90707
67108861,291.077,511.242,67.1099,10.7273,3.32534
13,0,0.173056,0.10752,0.196608,0.13312
29,0.0001,0.192512,0.132096,0.173056,0.152576
61,0.0001,0.186368,0.130048,0.162816,0.141312
125,0.0002,0.19456,0.15872,0.186368,0.150528
253,0.0003,0.19456,0.180224,0.192512,0.146432
509,0.0005,0.202752,0.19968,0.187392,0.13824
1021,0.0006,0.443392,0.2304,0.190464,0.164864
2045,0.0017,0.221184,0.36352,0.152576,0.101376
4093,0.0043,0.452608,0.328704,0.227328,0.145408
8189,0.0082,0.297984,0.3584,0.152576,0.1024
16381,0.0091,0.334848,0.290816,0.146432,0.13824
32765,0.0185,0.467968,0.3072,0.150528,0.14848
65533,0.0429,0.620544,0.329728,0.120832,0.11776
131069,0.6182,1.04858,0.78336,0.162528,0.403456
262141,1.2742,2.07258,0.391168,0.26112,0.335872
524285,2.5457,3.76771,0.714592,0.284288,0.488128
1048573,4.6836,8.54874,1.20003,0.343008,0.610304
2097149,10.7828,15.2223,2.46477,0.525216,1.2631
4194301,18.604,30.7552,3.40787,0.893792,0.75664
8388605,36.45,65.6083,6.28122,1.52662,2.52198
16777213,74.1804,128.468,10.7842,2.98851,1.26448
33554429,153.401,255.688,29.9868,5.43642,1.9712
67108861,295.771,512.4,52.4364,10.6926,3.30502
13,0,0.177152,0.121856,0.1792,0.137216
29,0.0003,0.171008,0.116736,0.188416,0.157696
61,0.0001,0.176128,0.141312,0.193536,0.149504
125,0.0003,0.181248,0.145408,0.18944,0.136192
253,0.0004,0.570368,0.180224,0.241664,0.146432
509,0.0005,0.214016,0.190464,0.195584,0.147456
1021,0.0005,0.428032,0.227328,0.18432,0.13824
2045,0.0015,0.232448,0.347136,0.19456,0.140288
4093,0.0019,0.243712,0.346112,0.175104,0.154624
8189,0.004,0.265216,0.354304,0.1536,0.1024
16381,0.0088,0.380928,0.293888,0.144224,0.116736
32765,0.0179,0.4352,0.293888,0.157696,0.123904
65533,0.0398,0.618496,0.3328,0.155648,0.11776
131069,0.5862,1.024,0.354304,0.15872,0.468992
262141,1.2094,2.21389,0.436224,0.193536,0.499136
524285,2.6612,3.75501,0.756736,0.292864,0.454656
1048573,4.6617,8.06541,1.63021,0.509952,0.56832
2097149,9.8657,15.6646,1.94454,0.555008,0.494976
4194301,17.9185,31.4499,4.31821,0.888704,0.648192
8388605,36.4491,64.3509,6.66829,1.54867,1.07622
16777213,75.1842,129.86,15.1235,2.78486,1.23075
33554429,146.058,252.355,21.204,5.42106,1.84506
67108861,291.519,513.412,64.5192,11.3664,3.35462
13,0,0.171008,0.11264,0.176128,0.150528
29,0.0001,0.182272,0.132096,0.197632,0.139264
61,0.0001,0.178176,0.136192,0.187392,0.142336
125,0.0004,0.186368,0.151552,0.185344,0.152576
253,0.0004,0.198656,0.178176,0.196608,0.172032
509,0.0006,0.24064,0.190464,0.31232,0.119808
1021,0.001,0.258048,0.20992,0.19456,0.140288
2045,0.0009,0.267264,0.22016,0.159744,0.106496
4093,0.0017,0.24064,0.329728,0.156672,0.11776
8189,0.0036,0.268288,0.273408,0.159744,0.10752
16381,0.0093,0.39936,0.284672,0.147456,0.116736
32765,0.0489,0.483328,0.295936,0.156672,0.128
65533,0.0425,0.794624,0.31744,0.154624,0.119808
131069,0.5999,1.0281,0.340992,0.159744,0.33456
262141,1.1759,2.0521,0.428032,0.177152,0.473088
524285,2.355,3.76378,1.03219,0.65616,0.570368
1048573,4.6849,7.63242,1.08576,0.355296,0.455456
2097149,10.9665,15.4112,2.54566,0.507488,0.556928
4194301,18.2079,31.1235,4.96435,0.841536,0.653856
8388605,36.1045,62.8541,6.52186,1.51814,1.72826
16777213,75.8846,127.224,11.0746,2.83814,1.13226
33554429,150.392,253.813,29.5721,5.46048,1.92
67108861,297.739,513.852,51.0546,10.714,3.32067
13,0,0.17408,0.109568,0.176128,0.129024
29,0.0001,0.214016,0.114688,0.188416,0.14336
61,0.0003,0.22528,0.14336,0.219136,0.151552
125,0.0003,0.18944,0.141312,0.19456,0.159744
253,0.0002,0.444416,0.178176,0.173056,0.166912
509,0.0006,0.293888,0.210944,0.17408,0.166912
1021,0.0005,0.25088,0.21504,0.182272,0.152576
2045,0.002,0.219136,0.357376,0.147456,0.123904
4093,0.0017,0.284672,0.24576,0.201728,0.134144
8189,0.0035,0.311296,0.26112,0.19456,0.120832
16381,0.0195,0.345088,0.299008,0.195584,0.146432
32765,0.0221,0.449536,0.297984,0.19456,0.11872
65533,0.0528,0.616448,0.32256,0.149504,0.181248
131069,0.6134,1.04653,0.351232,0.200704,0.32304
262141,1.1708,2.35827,0.400928,0.1792,0.941056
524285,2.3429,3.87891,0.708608,0.473088,0.499712
1048573,4.6851,7.97216,1.61792,0.37376,0.46592
2097149,10.2587,15.8915,1.96877,0.495616,0.62352
4194301,18.9254,32.9157,4.1257,0.821216,0.883456
8388605,35.87,62.2653,7.25504,1.50016,0.774624
16777213,72.0266,125.583,15.1327,2.81165,1.11955
33554429,144.637,253.707,21.163,5.47533,1.9359
67108861,299.955,512.235,67.7222,10.6922,3.3104
13,0.0001,0.162816,0.111616,0.140288,0.113664
29,0.0003,0.172032,0.132096,0.144384,0.136192
61,0.0002,0.238592,0.147456,0.188416,0.186368
125,0.0001,0.190464,0.157696,0.140288,0.156672
253,0.0004,0.402432,0.1792,0.151552,0.115712
509,0.0007,0.26624,0.185344,0.151552,0.114688
1021,0.0006,0.270336,0.211968,0.185344,0.114688
2045,0.0022,0.2304,0.310272,0.12288,0.095232
4093,0.0031,0.246784,0.331776,0.25088,0.137216
8189,0.0054,0.273408,0.290816,0.152576,0.103424
16381,0.0093,0.329728,0.282624,0.14592,0.116736
32765,0.0729,0.447488,0.295936,0.154624,0.155648
65533,0.0401,0.633856,0.311296,0.207872,0.176128
131069,0.584,1.07418,0.360448,0.198656,0.494592
262141,1.2059,2.38592,0.431104,0.22528,0.5208
524285,2.3449,3.82666,0.695296,0.288576,0.49664
1048573,4.6862,7.57629,1.09056,0.372192,0.4608
2097149,10.7085,15.9565,2.45248,0.55552,0.611328
4194301,17.8916,31.0942,3.33968,0.854016,0.661472
8388605,39.114,63.503,6.41126,1.53805,0.775552
16777213,75.6986,126.723,11.2219,2.83498,1.12835
33554429,148.869,256.303,29.5414,5.45328,1.93424
67108861,292.921,516.223,49.8962,10.6705,3.32346
13,0,0.173056,0.110592,0.197632,0.144384
29,0.0002,0.161792,0.118784,0.182272,0.132096
61,0.0003,0.169984,0.144384,0.183296,0.159744
125,0.0002,0.177152,0.159744,0.18432,0.150528
253,0.0003,0.185344,0.183296,0.18432,0.1536
509,0.0005,0.195584,0.183296,0.1792,0.162816
1021,0.0008,0.49664,0.202752,0.178176,0.238592
2045,0.0009,0.2304,0.277504,0.16896,0.390144
4093,0.002,0.238592,0.370688,0.186368,0.142336
8189,0.0036,0.269312,0.267264,0.159744,0.151552
16381,0.0086,0.324608,0.27648,0.173056,0.154624
32765,0.0247,0.415744,0.50688,0.185088,0.137216
65533,0.0386,0.694272,0.320512,0.175104,0.140288
131069,0.703,1.05882,0.366592,0.205824,0.416608
262141,1.2113,2.3296,0.387072,0.208896,0.448512
524285,2.6453,4.06112,1.44998,0.26624,0.431104
1048573,4.4414,7.57555,1.32954,0.370464,0.46112
2097149,10.1897,15.9844,1.96333,0.532,0.502784
4194301,18.364,32.6549,4.15334,0.813504,0.700416
8388605,35.9893,63.0508,7.55405,1.51142,0.8448
16777213,73.856,128.581,14.8996,2.8143,1.21642
33554429,145.351,253.974,21.3048,5.48454,1.94243
67108861,299.279,511.016,65.6855,10.7002,3.29728
13,0.0001,0.195584,0.10752,0.185344,0.086016
29,0.0001,0.316416,0.131072,0.172032,0.141312
61,0.0001,0.232448,0.134144,0.188416,0.13824
125,0.0001,0.24064,0.191488,0.186368,0.14848
253,0.0004,0.218112,0.171008,0.1792,0.146432
509,0.0007,0.210944,0.193536,0.190464,0.162816
1021,0.0006,0.24576,0.212992,0.183296,0.13824
2045,0.002,0.241664,0.349184,0.19456,0.14336
4093,0.0018,0.259072,0.36352,0.186368,0.15872
8189,0.0036,0.2816,0.273408,0.195584,0.131072
16381,0.011,0.371712,0.29184,0.173056,0.137216
32765,0.0184,0.707584,0.318464,0.193536,0.142336
65533,0.0418,0.857088,0.321536,0.185344,0.157696
131069,0.745,1.024,0.362496,0.188416,0.444416
262141,1.2041,2.12582,0.391168,0.218112,0.54784
524285,2.3448,3.83488,0.726016,0.283648,0.433824
1048573,4.6831,8.13251,1.12128,0.381952,0.531808
2097149,11.0187,15.4577,2.99213,0.530432,0.577312
4194301,19.5649,30.8091,4.5056,0.836,0.65808
8388605,36.1377,62.4599,6.44403,1.49347,0.943488
16777213,74.2854,125.965,10.8251,2.82931,1.21651
33554429,149.065,255.068,29.5107,5.47098,1.92096
67108861,290.403,514.096,51.4588,10.6619,3.20486
13,0.0001,0.176128,0.106496,0.188416,0.131072
29,0.0002,0.181248,0.119808,0.190464,0.135168
61,0.0002,0.191488,0.142336,0.339968,0.137216
125,0.0001,0.187392,0.159744,0.18944,0.140288
253,0.0001,0.190464,0.181248,0.186368,0.15872
509,0.0006,0.521216,0.193536,0.186368,0.155648
1021,0.0005,0.229376,0.211968,0.18944,0.154624
2045,0.0017,0.270336,0.34304,0.172032,0.14336
4093,0.0021,0.41984,0.392192,0.340992,0.146432
8189,0.0041,0.330752,0.262144,0.24576,0.144384
16381,0.0079,0.349184,0.293888,0.172032,0.14512
32765,0.0235,0.4352,0.293888,0.2048,0.15424
65533,0.0384,0.653312,0.32256,0.198656,0.159744
131069,0.5855,1.06086,0.352256,0.210944,0.618496
262141,1.2037,2.08282,0.443392,0.21296,0.44544
524285,2.651,4.40454,0.744448,0.278528,0.436224
1048573,4.657,7.9713,1.30333,0.372736,0.611328
2097149,10.3594,15.2064,1.96096,1.21242,0.533344
4194301,17.9728,31.8904,4.1775,0.914432,0.727392
8388605,39.5997,62.551,6.62733,1.50909,0.867744
16777213,73.3796,127.305,15.2166,2.85382,1.28848
33554429,145.412,255.51,21.0202,5.45578,1.9128
67108861,295.047,514.15,65.9948,10.6998,3.38902
13,0.0001,0.134144,0.096256,0.196608,0.13312
29,0.0002,0.1792,0.128,0.181248,0.132096
61,0.0002,0.256,0.134144,0.18432,0.140288
125,0.0002,0.201728,0.154624,0.182272,0.139264
253,0.0003,0.203776,0.182272,0.18432,0.147456
509,0.0007,0.256,0.19456,0.186368,0.137216
1021,0.0012,0.236544,0.214016,0.18944,0.140288
2045,0.0009,0.268288,0.231424,0.19456,0.129024
4093,0.0018,0.301056,0.362496,0.17408,0.139264
8189,0.0036,0.321536,0.267264,0.169984,0.145408
16381,0.0081,0.33792,0.293888,0.186368,0.14336
32765,0.034,0.449536,0.321536,0.181152,0.139264
65533,0.0511,0.647168,0.31744,0.315392,0.167936
131069,0.6002,1.03834,0.381952,0.201472,0.377856
262141,1.205,2.10739,0.388096,0.221184,0.482976
524285,2.4083,4.24141,0.710656,0.292288,0.482752
1048573,6.0893,7.9288,1.0736,0.376512,0.536576
2097149,9.6079,16.2416,2.37978,0.547616,0.512512
4194301,19.989,32.6817,4.06426,0.985088,0.792576
8388605,36.051,63.0036,6.69542,1.51757,0.905216
16777213,74.5524,127.968,10.8435,3.02282,1.21651
33554429,150.383,254.771,29.4736,5.47533,1.89677
67108861,292.676,515.048,52.6602,10.6925,3.31366
13,0.0001,0.176128,0.104448,0.19456,0.136192
29,0.0001,0.369664,0.118784,0.18432,0.13824
61,0.0001,0.252928,0.140288,0.191488,0.147456
125,0.0002,0.186368,0.161792,0.188416,0.156672
253,0.0004,0.21504,0.166912,0.187392,0.14336
509,0.0004,0.207872,0.195584,0.175104,0.149504
1021,0.0005,0.226304,0.206848,0.188416,0.146432
2045,0.0009,0.22528,0.34816,0.196608,0.140288
4093,0.004,0.376832,0.260096,0.201728,0.14848
8189,0.0173,0.391168,0.264192,0.193536,0.152576
16381,0.009,0.62464,0.295936,0.185344,0.157696
32765,0.019,0.418816,0.305152,0.379904,0.155648
65533,0.0373,0.664576,0.31744,0.19968,0.14288
131069,0.6179,1.02707,0.352256,0.195328,0.429056
262141,1.2072,2.10842,0.388096,0.2304,0.904512
524285,2.3445,4.06118,0.991232,0.35328,0.732512
1048573,4.7765,7.62765,1.33837,0.420608,0.55472
2097149,10.2836,17.0977,2.16115,0.498496,0.565248
4194301,18.3081,31.0313,4.26394,0.84992,0.657408
8388605,35.8527,63.7635,6.73075,1.52144,0.83456
16777213,72.3619,127.515,15.0968,2.82198,1.18726
33554429,149.23,255.455,21.1852,5.47123,1.89174
67108861,294.532,513.406,65.748,10.8145,3.32877
13,0,0.139264,0.096256,0.18432,0.136192
29,0.0001,0.18944,0.129024,0.218112,0.183296
61,0.0001,0.135168,0.137216,0.175104,0.330752
125,0.0004,0.315392,0.155648,0.172032,0.1536
253,0.0002,0.417792,0.171008,0.166912,0.166912
509,0.0005,0.226304,0.197632,0.186368,0.14336
1021,0.0004,0.2304,0.210944,0.191488,0.144384
2045,0.0009,0.222208,0.338944,0.187392,0.147456
4093,0.0041,0.2304,0.226304,0.200704,0.139264
8189,0.0038,0.272384,0.270336,0.201728,0.139264
16381,0.0288,0.362496,0.28672,0.173056,0.145408
32765,0.0261,0.422912,0.306176,0.192512,0.173056
65533,0.04,0.643072,0.321536,0.205824,0.14848
131069,0.6004,1.04448,0.352256,0.193536,0.468992
262141,1.1862,2.32858,0.412672,0.21504,0.459552
524285,2.9713,4.04054,0.700416,0.285536,0.465536
1048573,4.7385,8.26,1.12774,0.36864,0.598496
2097149,9.7804,16.0707,2.45658,0.550624,0.577952
4194301,17.9156,31.3682,3.32458,0.853632,0.755712
8388605,39.3194,61.8578,6.37542,1.48038,0.842304
16777213,72.4973,,,,
